Site,RainThresh
mo238700,-5
mo238777,-3.6
mo238880,-4.3
ms220021,-5
ms220488,-5
ms220660,-5
ms220955,-5
ms221094,-5
ms221314,-4.5
ms221707,-4.9
ms221852,-4.4
ms221865,-4.6
ms221962,-4.7
ms222385,-5
ms222896,-4.5
ms223208,-5
ms223605,-4.5
ms223627,-5
ms223645,-5
ms223887,-5
ms223975,-5
ms224001,-5
ms224173,-5
ms224776,-5
ms224939,-5
ms225247,-5
ms225614,-5
ms225776,-5
ms225987,-5
ms226009,-4.6
ms226177,-5
ms226308,-5
ms226476,-5
ms226718,-5
ms226894,-5
ms227111,-5
ms227128,-4.3
ms227132,-5
ms227560,-5
ms227840,-3.8
ms228374,-5
ms228445,-4.7
ms228998,-4.9
ms229079,-5
ms229400,-5
ms229439,-5
ms229743,-5
mt240364,3
mt240622,0.9
mt240755,-0.1
mt240770,2.3
mt240780,3.5
mt240802,3
mt240807,2.2
mt241008,3.2
mt241044,3.5
mt241084,1.7
mt241088,0.4
mt241102,2.1
mt241127,1.7
mt241297,2
mt241318,5
mt241518,0.8
mt241552,3
mt241692,2.1
mt241722,1.2
mt241737,5
mt241758,-0.4
mt241875,0.7
mt241905,2.5
mt241938,3.2
mt241974,3.2
mt241984,1.2
mt242104,-0.9
mt242122,0.6
mt242173,4.7
mt242301,1
mt242347,1.8
mt242409,1.3
mt242421,5
mt242689,2
mt242793,2.5
mt242857,3.4
mt243013,2.3
mt243110,2.8
mt243113,4
mt243176,2.6
mt243489,5
mt243558,1
mt243581,1.2
mt243617,3.3
mt243727,3.8
mt243751,3.6
mt243885,-1.6
mt243915,3
mt243939,3
mt243996,1.1
mt244038,5
mt244055,3.7
mt244084,-1.5
mt244241,3.7
mt244328,-1.8
mt244345,3.2
mt244358,3.4
mt244364,2.6
mt244386,2
mt244506,3.4
mt244512,1.9
mt244522,-0.1
mt244558,-1.9
mt244820,5
mt244985,2.2
mt245015,-1.8
mt245020,0.1
mt245030,4.4
mt245086,4
mt245153,3.1
mt245572,1
mt245596,3.4
mt245690,1.4
mt245745,0
mt245754,1.3
mt245761,3.4
mt245961,5
mt246157,5
mt246238,-0.1
mt246601,2.1
mt246635,-0.5
mt246640,0
mt246862,2.8
mt246893,1.8
mt246918,4.8
mt247034,2.7
mt247136,0.7
mt247214,2.6
mt247263,2.9
mt247382,0.9
mt247448,1.1
mt247560,2.1
mt247620,2.5
mt247894,-1.9
mt248021,4.7
mt248043,-0.3
mt248169,-0.3
mt248233,3.3
mt248324,2.4
mt248363,1.1
mt248380,-2.4
mt248430,-0.1
mt248501,3.6
mt248569,0.9
mt248597,5
mt248777,1.7
mt248809,-1.4
mt248957,0.8
mt249033,0.7
mt249067,2.5
mt249240,1.3
nc310090,-3.3
nc310241,-2
nc310286,-2.4
nc310301,-3.3
nc310506,-1.6
nc310724,-3.8
nc311055,-4
nc311239,-2.5
nc311458,-3.1
nc311606,1
nc311624,-2.4
nc311677,-2.9
nc311690,-3.5
nc311820,-3.1
nc311975,-2.5
nc312102,-5
nc312200,-3.3
nc312238,-2.6
nc312635,1
nc312719,1
nc312732,-5
nc313017,-2.9
nc313228,-4.9
nc313356,-3
nc313565,-4.1
nc313630,-1.8
nc313638,-3.1
nc313784,-3.4
nc313969,-4.1
nc313976,-3
nc314020,-3.1
nc314055,-4.3
nc314063,-2.1
nc314456,-2
nc314464,-3.5
nc314496,-3.6
nc314684,-4
nc314860,-2.2
nc314938,-3.2
nc314962,-3
nc314970,-2.8
nc314996,-3
nc315123,-3.9
nc315177,-4.3
nc315340,-3.6
nc315356,-3
nc315771,-3.3
nc315830,1
nc315838,-3.9
nc315890,-2.6
nc316001,-5
nc316108,1
nc316256,-3.6
nc316805,-4.6
nc316853,-3.3
nc317069,-2.4
nc317079,-2.8
nc317202,-2.2
nc317516,-2.9
nc317615,-1.9
nc317656,-2.3
nc317845,-3
nc317924,-3.5
nc317994,-3.9
nc318113,1
nc318292,-3.5
nc318492,-4.3
nc318500,-2.8
nc318694,-4
nc318744,-1.6
nc318964,-2.7
nc319123,-2.7
nc319147,-3.9
nc319357,-2.8
nc319440,-3
nc319457,-2.8
nc319467,-3.9
nc319476,-3.2
nc319675,-2.5
nd320382,1.7
nd320819,-0.4
nd320941,0.6
nd320995,1.4
nd321225,-5
nd321435,-0.8
nd321456,-0.1
nd321766,0.2
nd321871,-5
nd322183,3
nd322188,1.8
nd322365,1.4
nd322525,-1.4
nd322809,2
nd322859,-1.4
nd323117,0.1
nd323217,1.6
nd323287,-0.1
nd323376,1.4
nd323616,-2
nd323621,-1.3
nd324413,-0.3
nd324418,0.6
nd324571,0.7
nd324646,-1.2
nd324958,0
nd325479,2.2
nd325638,1.8
nd325710,1.1
nd325730,-0.4
nd325754,-0.6
nd325813,1.9
nd325988,3.6
nd325993,2.1
nd326015,0.5
nd326255,1.4
nd326315,1.7
nd326365,1.5
nd326947,0
nd327027,-1
nd327311,2.3
nd327530,-1.7
nd327704,3.1
nd328276,1.3
nd328737,1.1
nd328792,1
nd328840,0.2
nd328872,2.4
nd328913,1.6
nd328937,-0.3
nd329246,1.5
nd329425,-1.5
nd329445,0.2
ne250030,4.6
ne250050,2.9
ne250245,2.8
ne250365,3.2
ne250375,-0.6
ne250420,1.7
ne250435,-1.3
ne250640,2.5
ne250760,4.6
